id,Holes,Solidity,Eccentricity,Circularity,InvExtent,RadialVariance,Hu1,Hu2,Hu3,Label
34,0.000000,0.720588,0.978140,0.414405,0.568589,0.507340,0.548054,0.255772,0.014791,1
35,0.000000,0.459596,0.867876,0.176238,0.297846,0.416114,0.524813,0.101223,0.009483,3
36,0.000000,0.628906,0.803882,0.243092,0.435763,0.371578,0.325412,0.024283,0.000203,5
37,0.000000,0.779528,0.952983,0.553414,0.659537,0.482512,0.339759,0.080663,0.000995,1
38,0.000000,0.858268,0.947140,0.644545,0.706604,0.481895,0.302552,0.061171,0.000365,1
39,1.000000,0.724806,0.717647,0.438273,0.507222,0.350282,0.261857,0.008304,0.000080,6
40,0.000000,0.676000,0.821837,0.273450,0.478236,0.383963,0.302860,0.024005,0.000092,5
41,0.000000,0.509615,0.803042,0.190309,0.319659,0.342251,0.443041,0.044767,0.000674,5
42,1.000000,0.780392,0.480658,0.696172,0.597612,0.372111,0.210135,0.000759,0.001720,4
43,1.000000,0.768868,0.716417,0.637112,0.538547,0.349410,0.246288,0.007289,0.004803,4
44,1.000000,0.714844,0.719129,0.439444,0.499491,0.361391,0.266109,0.008672,0.000508,6
45,0.000000,0.732673,0.965840,0.477674,0.583867,0.490642,0.438565,0.148485,0.009662,1
46,0.000000,0.538095,0.824755,0.212561,0.346984,0.367774,0.418910,0.046945,0.000986,5
47,0.000000,0.579909,0.772802,0.226084,0.383802,0.351896,0.358627,0.023483,0.000140,5
48,1.000000,0.646766,0.692457,0.527975,0.439930,0.333059,0.298132,0.008915,0.010222,4
49,0.000000,0.604651,0.970959,0.341395,0.484696,0.564038,0.566618,0.258189,0.055429,1
50,0.000000,0.562264,0.837200,0.261431,0.404168,0.382795,0.366209,0.039277,0.001300,2
51,0.000000,0.470588,0.836501,0.210464,0.328639,0.377092,0.449884,0.058977,0.002308,2
52,0.000000,0.532609,0.851835,0.179297,0.374816,0.466675,0.404832,0.053358,0.015851,5
53,1.000000,0.685567,0.758117,0.546151,0.489413,0.345038,0.277854,0.012668,0.006326,4
54,1.000000,0.585903,0.691934,0.409586,0.437043,0.348735,0.300073,0.008994,0.007883,4
55,0.000000,0.631579,0.829013,0.280146,0.439256,0.387642,0.332846,0.030577,0.001804,3
56,0.000000,0.572052,0.814726,0.230028,0.382011,0.353802,0.375753,0.035077,0.000044,5
57,1.000000,0.731481,0.710041,0.570707,0.538301,0.373553,0.245588,0.006910,0.005944,4
58,1.000000,0.611872,0.744999,0.331644,0.396641,0.343950,0.340086,0.017189,0.000761,6
59,1.000000,0.691542,0.696479,0.546345,0.476516,0.359506,0.275701,0.007861,0.008726,4
60,1.000000,0.643791,0.833276,0.290245,0.447975,0.357982,0.328643,0.030703,0.000913,6
61,0.000000,0.726316,0.961531,0.449096,0.583917,0.522525,0.416640,0.129781,0.013546,1
62,0.000000,0.684887,0.775357,0.297670,0.492737,0.364381,0.280173,0.014580,0.000050,2
63,0.000000,0.610169,0.827575,0.270106,0.419361,0.376182,0.347999,0.033063,0.002773,3
64,0.000000,0.591696,0.815763,0.292102,0.425542,0.368462,0.337907,0.028556,0.000705,2
65,0.000000,0.679245,0.796163,0.277032,0.488781,0.371872,0.287771,0.017944,0.000009,5
66,1.000000,0.735931,0.698377,0.575643,0.525181,0.352046,0.250469,0.006577,0.005494,4
67,0.000000,0.511538,0.831831,0.241931,0.359762,0.369259,0.408173,0.046907,0.000436,2
68,0.000000,0.796296,0.906176,0.645607,0.680983,0.468378,0.254545,0.031759,0.001623,1
69,1.000000,0.572072,0.738587,0.339278,0.369140,0.338926,0.363978,0.018770,0.000970,6
70,1.000000,0.627820,0.667334,0.379470,0.460950,0.367994,0.282042,0.006573,0.010300,4
71,1.000000,0.718876,0.724475,0.415191,0.489908,0.350654,0.272085,0.009436,0.000381,6
72,2.000000,0.766854,0.811963,0.614171,0.571813,0.344537,0.250443,0.015241,0.000072,6
73,0.000000,0.436441,0.847419,0.177547,0.284165,0.388241,0.529419,0.088501,0.005474,2
74,0.000000,0.535581,0.759581,0.196609,0.354402,0.334986,0.384678,0.024473,0.000425,5
75,1.000000,0.751092,0.689233,0.642713,0.547278,0.355928,0.239394,0.005606,0.004668,4
76,0.000000,0.549618,0.834489,0.276323,0.384625,0.363275,0.383280,0.042172,0.000447,2
77,0.000000,0.844595,0.899855,0.661767,0.688445,0.467051,0.246396,0.028403,0.002326,1
78,1.000000,0.625984,0.653126,0.437014,0.468952,0.351543,0.275875,0.005637,0.007073,4
79,1.000000,0.596491,0.728864,0.352781,0.392604,0.351505,0.340283,0.015258,0.000889,6
80,1.000000,0.709924,0.764397,0.414864,0.489333,0.357911,0.279555,0.013398,0.000380,6
81,0.000000,0.633621,0.861960,0.277018,0.441497,0.393683,0.349867,0.043040,0.001078,3
82,0.000000,0.629344,0.820321,0.296567,0.450962,0.412244,0.320575,0.026593,0.000730,2
83,1.000000,0.627615,0.717441,0.394805,0.420348,0.338235,0.315906,0.012070,0.000226,6
84,0.000000,0.476415,0.815792,0.185418,0.311248,0.345838,0.461688,0.053393,0.002045,5
85,0.000000,0.710938,0.805030,0.241582,0.520373,0.370587,0.272795,0.017216,0.000321,3
86,0.000000,0.641414,0.862176,0.303592,0.540789,0.455892,0.285366,0.028757,0.006007,1
87,2.000000,0.757835,0.812579,0.598423,0.556853,0.332596,0.257358,0.016167,0.000026,6
88,0.000000,0.425620,0.821344,0.169991,0.279043,0.364479,0.518796,0.070163,0.003380,2
89,0.000000,0.651452,0.824079,0.252559,0.457384,0.386652,0.317568,0.026836,0.000140,5
90,1.000000,0.604061,0.719251,0.494544,0.418193,0.337425,0.317549,0.012384,0.012115,4
91,0.000000,0.581590,0.806676,0.241052,0.395698,0.332562,0.359408,0.030246,0.000399,5
92,0.000000,0.539419,0.801320,0.203265,0.355065,0.353202,0.398260,0.035696,0.000199,5
93,1.000000,0.728889,0.700093,0.602634,0.519362,0.348160,0.253444,0.006823,0.005774,4
94,0.000000,0.497976,0.839566,0.242825,0.345496,0.369066,0.429910,0.055091,0.000777,2
95,0.000000,0.813333,0.907540,0.658802,0.678123,0.476141,0.256802,0.032672,0.002781,1
96,1.000000,0.606897,0.722948,0.397181,0.447739,0.372208,0.297537,0.011151,0.011720,4
97,1.000000,0.575221,0.757915,0.329728,0.373786,0.356482,0.364112,0.021679,0.000594,6
98,1.000000,0.714286,0.781664,0.397422,0.488154,0.362605,0.284234,0.015732,0.000566,6
99,0.000000,0.618644,0.857582,0.275080,0.424962,0.381727,0.360443,0.044223,0.001608,3
100,0.000000,0.606178,0.822788,0.280657,0.442027,0.416256,0.328080,0.028365,0.000562,2
101,0.000000,0.502347,0.821364,0.191655,0.316212,0.351277,0.457697,0.054649,0.000057,5
102,1.000000,0.566964,0.713148,0.343744,0.361460,0.328919,0.366556,0.015736,0.001112,6
103,0.000000,0.734513,0.959056,0.467398,0.613673,0.490634,0.386441,0.109403,0.005338,1
104,0.000000,0.725926,0.940659,0.492740,0.562703,0.483658,0.363295,0.083874,0.010520,1
105,1.000000,0.754237,0.685012,0.621855,0.552630,0.354862,0.236695,0.005306,0.004111,4
106,1.000000,0.570755,0.733496,0.337423,0.360045,0.332833,0.372004,0.018880,0.001480,6
107,1.000000,0.704478,0.814351,0.311931,0.502199,0.337618,0.285959,0.020223,0.000088,6
108,1.000000,0.587963,0.709033,0.353197,0.375751,0.342773,0.351857,0.014061,0.001301,6
109,0.000000,0.443515,0.843474,0.171544,0.291873,0.383485,0.512088,0.080433,0.004338,2
110,0.000000,0.629167,0.823583,0.245015,0.432297,0.390558,0.335796,0.029892,0.000271,5
111,1.000000,0.620513,0.702907,0.472548,0.405942,0.339022,0.324592,0.011438,0.012629,4
112,0.000000,0.529644,0.844662,0.248180,0.369663,0.374923,0.405108,0.050779,0.000556,2
113,0.000000,0.454545,0.825205,0.173743,0.284915,0.316978,0.510519,0.069942,0.000702,5
114,1.000000,0.673469,0.709522,0.521262,0.468019,0.349793,0.282348,0.009101,0.008202,4
115,0.000000,0.604478,0.811209,0.245672,0.443051,0.341431,0.322702,0.025202,0.000387,2
116,0.000000,0.533981,0.861990,0.235848,0.351529,0.370182,0.439346,0.067914,0.003313,3
117,0.000000,0.442149,0.848166,0.195261,0.300847,0.383074,0.500667,0.079594,0.004252,2
118,0.000000,0.437229,0.858842,0.190407,0.285476,0.363604,0.537899,0.099387,0.001241,2
119,0.000000,0.595142,0.803418,0.230612,0.399183,0.349282,0.355049,0.028810,0.000142,5
120,1.000000,0.693878,0.668260,0.438164,0.477281,0.339461,0.272462,0.006179,0.000895,6
121,0.000000,0.720339,0.968521,0.444402,0.591042,0.497324,0.449159,0.158781,0.008215,1
122,0.000000,0.486364,0.818428,0.176597,0.311166,0.364940,0.463412,0.054822,0.000153,5
123,1.000000,0.660944,0.724291,0.397016,0.435993,0.331178,0.305665,0.011896,0.000377,6
124,0.000000,0.562771,0.774426,0.216682,0.376455,0.347432,0.366173,0.024769,0.000177,5
125,0.000000,0.672065,0.834775,0.305907,0.487395,0.401641,0.302500,0.026340,0.001450,3
126,0.000000,0.619048,0.821146,0.246169,0.418421,0.383310,0.345808,0.031144,0.000256,5
127,0.000000,0.669421,0.961318,0.439970,0.581099,0.514031,0.418052,0.130220,0.007599,1
128,0.000000,0.745819,0.757367,0.304697,0.545435,0.364789,0.249558,0.010132,0.000205,5
129,1.000000,0.600000,0.737985,0.424243,0.393161,0.355981,0.341303,0.016460,0.014014,4
130,1.000000,0.696721,0.688262,0.414471,0.462204,0.330286,0.283512,0.007796,0.000714,6
131,1.000000,0.693780,0.694163,0.558257,0.493559,0.348574,0.265923,0.007186,0.007569,4
132,1.000000,0.423077,0.687535,0.220654,0.248278,0.328144,0.527573,0.026854,0.009377,6
133,1.000000,0.750000,0.731899,0.640805,0.540618,0.373107,0.247326,0.008260,0.004410,4
134,1.000000,0.632432,0.663659,0.484346,0.423908,0.333851,0.305964,0.007536,0.010752,4
135,0.000000,0.748148,0.947883,0.503303,0.571120,0.492126,0.376682,0.095232,0.015232,1
136,1.000000,0.651452,0.676722,0.397555,0.426552,0.329702,0.305832,0.008307,0.000937,6
137,1.000000,0.755556,0.698785,0.653396,0.520294,0.335413,0.252632,0.006724,0.004769,4
138,0.000000,0.694981,0.770051,0.244006,0.482629,0.355411,0.284675,0.014488,0.000771,5
139,0.000000,0.752000,0.958423,0.516946,0.596177,0.488109,0.395529,0.113888,0.009976,1
140,1.000000,0.615764,0.675972,0.463262,0.431121,0.331461,0.302223,0.008080,0.009971,4
141,0.000000,0.559387,0.829826,0.245734,0.380484,0.374317,0.384891,0.041090,0.000984,2
142,0.000000,0.596491,0.818271,0.244030,0.403671,0.359005,0.357121,0.032524,0.000171,5
143,0.000000,0.476744,0.832035,0.210349,0.322552,0.390635,0.455437,0.058476,0.003009,2
144,1.000000,0.729614,0.694096,0.619607,0.532275,0.342992,0.246659,0.006175,0.004461,4
145,0.000000,0.716814,0.959729,0.466365,0.563609,0.500432,0.423833,0.132194,0.014635,1
146,0.000000,0.443878,0.851712,0.189139,0.284194,0.409369,0.533012,0.092688,0.020938,3
147,0.000000,0.581028,0.827197,0.256266,0.400427,0.376733,0.364344,0.036125,0.000533,2
148,1.000000,0.694581,0.698438,0.495315,0.495145,0.355411,0.265528,0.007403,0.006877,4
149,1.000000,0.583732,0.724978,0.347880,0.370798,0.341697,0.359449,0.016544,0.001726,6
150,0.000000,0.518692,0.829854,0.200280,0.335903,0.374226,0.435783,0.052735,0.000230,5
151,0.000000,0.691489,0.972431,0.421008,0.571843,0.508288,0.491616,0.196432,0.006860,1
152,1.000000,0.706186,0.723476,0.558551,0.491529,0.358085,0.270752,0.009294,0.007238,4
153,0.000000,0.733945,0.958976,0.488363,0.580905,0.513242,0.407943,0.121819,0.015421,1
154,0.000000,0.700000,0.782328,0.315847,0.513361,0.361372,0.270550,0.014311,0.000014,2
155,0.000000,0.626506,0.787605,0.249081,0.424435,0.348240,0.328646,0.021976,0.000067,5
156,1.000000,0.669355,0.747293,0.373702,0.452916,0.359230,0.298362,0.013449,0.000584,6
157,0.000000,0.550661,0.876483,0.252661,0.370767,0.403244,0.429963,0.072354,0.006501,3
158,1.000000,0.611111,0.698102,0.513099,0.401924,0.336419,0.327006,0.011203,0.014976,4
159,1.000000,0.542056,0.730056,0.328886,0.349194,0.345834,0.382785,0.019486,0.002724,6
160,0.000000,0.774892,0.843867,0.418288,0.611627,0.386582,0.244348,0.018393,0.000549,3
161,0.000000,0.527273,0.813369,0.191987,0.339542,0.362172,0.422057,0.043818,0.000472,5
162,1.000000,0.754717,0.648548,0.637630,0.539643,0.361148,0.239271,0.004096,0.005510,4
163,0.000000,0.800000,0.956699,0.541902,0.647204,0.513265,0.358063,0.092207,0.005205,1
164,1.000000,0.728972,0.703932,0.627576,0.525650,0.349478,0.250785,0.006881,0.005144,4
165,0.000000,0.539474,0.793701,0.268045,0.385876,0.449449,0.363434,0.028135,0.008370,3
166,0.000000,0.536797,0.809334,0.189797,0.348656,0.343971,0.409145,0.039965,0.001521,5
167,0.000000,0.581197,0.811764,0.219064,0.388743,0.364411,0.367971,0.032912,0.000036,5
168,1.000000,0.637860,0.729668,0.362205,0.432467,0.347307,0.309095,0.012662,0.000614,6
169,0.000000,0.750000,0.972091,0.456651,0.598745,0.493375,0.467013,0.176778,0.007357,1
170,0.000000,0.898148,0.983502,0.481317,0.739583,0.548754,0.480726,0.204187,0.000010,1
171,0.000000,0.559524,0.644313,0.180867,0.360996,0.372224,0.357610,0.008833,0.002978,5
172,0.000000,0.445833,0.855085,0.197497,0.302103,0.366928,0.504720,0.085115,0.007766,2
173,1.000000,0.729084,0.683529,0.591394,0.542395,0.353790,0.241063,0.005440,0.004622,4
174,1.000000,0.730769,0.677199,0.619907,0.518365,0.355068,0.251484,0.005647,0.006504,4
175,0.000000,0.734375,0.941337,0.497996,0.616622,0.486182,0.332784,0.070834,0.004845,1
176,0.000000,0.611722,0.801968,0.299240,0.446386,0.408798,0.317025,0.022724,0.001671,2
177,1.000000,0.637883,0.873914,0.287563,0.485526,0.438378,0.326669,0.040907,0.006974,4
178,0.000000,0.719008,0.959725,0.463115,0.602059,0.507418,0.396761,0.115836,0.007893,1
179,0.000000,0.626556,0.802796,0.238472,0.430586,0.373851,0.328881,0.024615,0.000008,5
180,0.000000,0.611111,0.849087,0.245738,0.426742,0.393582,0.353452,0.039953,0.002607,3
181,0.000000,0.621711,0.716870,0.221315,0.446120,0.367409,0.297735,0.010663,0.001777,2
182,0.000000,0.619835,0.827959,0.273836,0.439458,0.382042,0.332253,0.030225,0.001165,3
183,1.000000,0.750000,0.685076,0.618171,0.534069,0.364073,0.244785,0.005685,0.005252,4
184,0.000000,0.515419,0.803353,0.189591,0.328599,0.356549,0.431238,0.042490,0.000280,5
185,0.000000,0.754237,0.962232,0.482761,0.606155,0.492389,0.404951,0.122980,0.006689,1
186,0.000000,0.725664,0.964509,0.439171,0.566354,0.498303,0.445039,0.151160,0.014837,1
187,0.000000,0.597270,0.824434,0.280885,0.421743,0.378735,0.344767,0.031675,0.001583,2
188,0.000000,0.555024,0.836196,0.250766,0.366161,0.377889,0.403408,0.047359,0.004215,3
189,0.000000,0.415584,0.850276,0.168439,0.276448,0.387267,0.546798,0.096437,0.001449,2
190,0.000000,0.833333,0.946105,0.603230,0.683176,0.485646,0.310522,0.063935,0.001686,1
191,0.000000,0.623894,0.845727,0.298303,0.434824,0.395981,0.344881,0.037119,0.003072,3
192,1.000000,0.787234,0.715676,0.662419,0.566563,0.395926,0.233867,0.006545,0.004775,4
193,0.000000,0.539171,0.840282,0.242712,0.353761,0.379720,0.420234,0.052942,0.005906,3
194,0.000000,0.587234,0.831176,0.281531,0.418948,0.379662,0.350051,0.034360,0.002485,3
195,0.000000,0.464730,0.834555,0.189630,0.312043,0.387235,0.472416,0.064116,0.001821,2
196,0.000000,0.613043,0.815890,0.226098,0.409726,0.359901,0.350836,0.030841,0.000012,5
197,0.000000,0.495902,0.846222,0.234007,0.338643,0.381639,0.443339,0.061523,0.003765,2
198,1.000000,0.623318,0.694428,0.384485,0.408463,0.354654,0.321550,0.010515,0.001489,6
199,0.000000,0.692308,0.823128,0.276032,0.489285,0.380814,0.296602,0.023229,0.000101,5
200,0.000000,0.510638,0.802603,0.184015,0.332764,0.353426,0.425513,0.041139,0.000260,5
201,0.000000,0.741935,0.967958,0.483428,0.611591,0.519871,0.430204,0.145387,0.008253,1
202,0.000000,0.577778,0.814177,0.226721,0.387876,0.368739,0.369797,0.033843,0.000136,5
203,0.000000,0.650000,0.769317,0.251747,0.434179,0.344492,0.316217,0.017784,0.000047,5
204,0.000000,0.511737,0.821682,0.192260,0.335277,0.357180,0.431788,0.048764,0.001073,5
205,1.000000,0.763636,0.647663,0.649078,0.556154,0.333193,0.232126,0.003828,0.002562,4
206,1.000000,0.783673,0.759405,0.654406,0.580688,0.353988,0.234587,0.009102,0.003474,4
207,0.000000,0.523810,0.818987,0.204517,0.345935,0.359394,0.417152,0.044600,0.000137,5
208,0.000000,0.781609,0.970162,0.474940,0.594714,0.505596,0.456477,0.166437,0.012388,1
209,0.000000,0.515873,0.833595,0.232070,0.347329,0.366705,0.423880,0.051242,0.001065,2
210,0.000000,0.627451,0.327583,0.199963,0.415027,0.296961,0.300803,0.000293,0.005120,3
211,1.000000,0.525862,0.674809,0.301733,0.330267,0.306419,0.394719,0.013635,0.000939,6
212,0.000000,0.557522,0.768564,0.298535,0.413984,0.455946,0.331242,0.019429,0.016512,1
213,0.000000,0.660000,0.831023,0.260477,0.473591,0.372057,0.309652,0.026846,0.000085,5
214,1.000000,0.715385,0.732243,0.426247,0.493292,0.347969,0.271430,0.009950,0.000243,6
215,1.000000,0.571429,0.620381,0.432865,0.369486,0.303238,0.346530,0.006890,0.016296,4
216,1.000000,0.784257,0.824137,0.408224,0.582746,0.365066,0.249485,0.016541,0.000017,6
217,0.000000,0.625310,0.894994,0.195453,0.502383,0.461310,0.333724,0.049905,0.001842,2
218,0.000000,0.669323,0.796478,0.274605,0.482172,0.396676,0.291755,0.018493,0.000005,5
219,0.000000,0.560538,0.834032,0.244287,0.377246,0.372653,0.390361,0.043632,0.002553,3
